model,phase,prompt-format,accuracy,f1,precision,recall
bert-base-uncased,0-Shot PRONTO,<C> is a [MASK] of <D>.,0.65,0.662379421221865,0.64576802507837,0.6798679867986799
bert-base-uncased,0-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.4696666666666667,0.6211002619671351,0.4858420268256334,0.8607260726072608
bert-base-uncased,4-Shot PRONTO,<C> is a [MASK] of <D>.,0.698,0.6568181818181819,0.7706666666666667,0.5722772277227722
bert-base-uncased,32-Shot PRONTO,<C> is a [MASK] of <D>.,0.7743333333333333,0.7683886418063633,0.7975852272727273,0.7412541254125412
bert-base-uncased,128-Shot PRONTO,<C> is a [MASK] of <D>.,0.8473333333333334,0.8448509485094851,0.8677800974251914,0.8231023102310231
bert-base-uncased,4-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.6413333333333333,0.5524126455906821,0.7469066366704162,0.4382838283828383
bert-base-uncased,32-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.7263333333333334,0.7060508413891873,0.7715179968701096,0.6508250825082508
bert-base-uncased,128-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.8263333333333334,0.824401752612066,0.8422865013774105,0.8072607260726072
bert-base-uncased,PRONTO-VF-PRONTO,<C> is a [MASK] of <D>.,0.8085858585858586,0.8109725685785536,0.9124579124579124,0.729802513464991
bert-base-uncased,PRONTO-LIN-PRONTO,<C> is a [MASK] of <D>.,0.47373737373737373,0.6152141802067946,0.5225846925972396,0.7477558348294434
bert-base-uncased,PRONTO-WS-PRONTO,<C> is a [MASK] of <D>.,0.5696969696969697,0.45663265306122447,0.788546255506608,0.3213644524236984
bert-base-uncased,PRONTO-MAV-PRONTO,<C> is a [MASK] of <D>.,0.8121212121212121,0.8176470588235294,0.9006479481641468,0.748653500897666
bert-base-uncased,PRONTO-VF-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.8090909090909091,0.8222013170272813,0.8636363636363636,0.7845601436265709
bert-base-uncased,PRONTO-LIN-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.552020202020202,0.5462915601023018,0.6349583828775267,0.4793536804308797
bert-base-uncased,PRONTO-WS-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.4797979797979798,0.1693548387096774,0.8333333333333334,0.09425493716337523
bert-base-uncased,PRONTO-MAV-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.796969696969697,0.8177697189483227,0.826007326007326,0.8096947935368043
roberta-base,0-Shot PRONTO,<C> is a <mask> of <D>.,0.6116666666666667,0.575591985428051,0.6422764227642277,0.5214521452145214
roberta-base,0-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.5156666666666667,0.3168782322519981,0.5506535947712419,0.22244224422442244
roberta-base,4-Shot PRONTO,<C> is a <mask> of <D>.,0.645,0.5527089458210835,0.7598152424942263,0.43432343234323434
roberta-base,32-Shot PRONTO,<C> is a <mask> of <D>.,0.7513333333333333,0.752324037184595,0.7568470273881096,0.7478547854785479
roberta-base,128-Shot PRONTO,<C> is a <mask> of <D>.,0.8246666666666667,0.8204778156996587,0.8494699646643109,0.7933993399339934
roberta-base,4-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.628,0.6811428571428572,0.6005037783375314,0.7867986798679868
roberta-base,32-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.7553333333333333,0.7554963357761493,0.7626092804303968,0.7485148514851485
roberta-base,128-Shot LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.8246666666666667,0.8204778156996587,0.8494699646643109,0.7933993399339934
roberta-base,PRONTO-VF-PRONTO,<C> is a <mask> of <D>.,0.8035353535353535,0.810705596107056,0.8852284803400637,0.7477558348294434
roberta-base,PRONTO-LIN-PRONTO,<C> is a <mask> of <D>.,0.5545454545454546,0.608,0.602112676056338,0.6140035906642729
roberta-base,PRONTO-WS-PRONTO,<C> is a <mask> of <D>.,0.5181818181818182,0.29955947136563876,0.8225806451612904,0.18312387791741472
roberta-base,PRONTO-MAV-PRONTO,<C> is a <mask> of <D>.,0.8101010101010101,0.8347978910369068,0.8175559380378657,0.8527827648114902
roberta-base,PRONTO-VF-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.7565656565656566,0.7533265097236438,0.8761904761904762,0.6606822262118492
roberta-base,PRONTO-LIN-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.5358585858585858,0.5492888670917117,0.6054054054054054,0.5026929982046678
roberta-base,PRONTO-WS-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.6222222222222222,0.7305475504322767,0.6101083032490975,0.9102333931777379
roberta-base,PRONTO-MAV-LMAOSI,"It is a <C>? <mask>, it is a <D>.",0.7636363636363637,0.7974025974025974,0.770066889632107,0.8267504488330341


bert-base-uncased,0-Shot PRONTO,<C> is a [MASK] of <D>.,0.65,0.662379421221865,0.64576802507837,0.6798679867986799
bert-base-uncased,0-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.4696666666666667,0.6211002619671351,0.4858420268256334,0.8607260726072608
bert-base-uncased,4-Shot PRONTO,<C> is a [MASK] of <D>.,0.6776666666666666,0.6218224481814627,0.7629558541266794,0.5247524752475248
bert-base-uncased,32-Shot PRONTO,<C> is a [MASK] of <D>.,0.7716666666666666,0.7658119658119659,0.7943262411347518,0.7392739273927392
bert-base-uncased,128-Shot PRONTO,<C> is a [MASK] of <D>.,0.845,0.8428523149712741,0.8635734072022161,0.8231023102310231
bert-base-uncased,4-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.623,0.5054656755574989,0.7487046632124352,0.3815181518151815
bert-base-uncased,32-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.7266666666666667,0.7088068181818182,0.7671022290545734,0.6587458745874587
bert-base-uncased,128-Shot LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.8373333333333334,0.8358008075370121,0.8524365133836651,0.8198019801980198
bert-base-uncased,PRONTO-VF-PRONTO,<C> is a [MASK] of <D>.,0.8237373737373738,0.8446817979528259,0.8375992939099736,0.8518850987432675
bert-base-uncased,PRONTO-LIN-PRONTO,<C> is a [MASK] of <D>.,0.6131313131313131,0.7262330235882773,0.6033254156769596,0.9120287253141831
bert-base-uncased,PRONTO-WS-PRONTO,<C> is a [MASK] of <D>.,0.697979797979798,0.7602245388933441,0.6869565217391305,0.8509874326750448
bert-base-uncased,PRONTO-MAV-PRONTO,<C> is a [MASK] of <D>.,0.8318181818181818,0.8497970230040596,0.8540344514959202,0.8456014362657092
bert-base-uncased,PRONTO-VF-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.7954545454545454,0.8207171314741036,0.8096069868995633,0.8321364452423698
bert-base-uncased,PRONTO-LIN-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.554040404040404,0.41406768414067685,0.7938931297709924,0.2800718132854578
bert-base-uncased,PRONTO-WS-LMAOSI,"It is a <C>? [MASK], it is a <D>.",0.6686868686868687,0.7607585703865791,0.6406633906633906,0.9362657091561939
